gene	logFC_comp1	logCPM_comp1	LR_comp1	PValue_comp1	FDR_comp1	de_family_comp1	de_method_comp1	de_type_comp1	cell_type_comp1	perturbation	condition	logFC_comp2	logCPM_comp2	LR_comp2	PValue_comp2	FDR_comp2	de_family_comp2	de_method_comp2	de_type_comp2	cell_type_comp2	score	p	convergence	q_value
1110008P14Rik	0.196311102	6.761973191	0.717831718	0.396856067	0.951568244	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.098850614	5.646944038	0.803469021	0.370058209	0.693739775	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.002740201	0.3326	high	0.493846722
1110019D14Rik	-0.780350712	6.080562688	4.897564903	0.026894594	0.662740697	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.112539804	4.828736915	0.675329902	0.411199509	0.726768381	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.059754923	0.08175	low	0.493846722
1110051M20Rik	-0.186041489	7.778164326	1.142699882	0.285082551	0.933012722	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.067647173	7.138705877	0.390492384	0.532040697	0.799069462	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.001558849	0.37435	high	0.493959375
1500011B03Rik	0.418510122	6.229703385	2.114731456	0.145887642	0.85002388	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.177560493	5.123349651	0.918436113	0.337885933	0.692646556	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.014996416	0.1931	high	0.493846722
1700019D03Rik	-0.943030324	6.256033128	8.059821041	0.004525765	0.442519281	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.767897866	5.239023105	11.10625709	0.00086037	0.022877745	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.902153269	0.001175	low	0.3683625
1700025G04Rik	-0.154880228	7.605246395	0.728684678	0.393309868	0.951568244	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.047098968	7.201903877	0.20905968	0.647505418	0.86093472	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.000687978	0.426525	high	0.497826903
1810013L24Rik	-0.524901439	6.042749852	2.626470443	0.105095104	0.80056802	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.150060205	6.118726689	0.827088323	0.363115824	0.693739775	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.02187292	0.157875	high	0.493846722
2010300C02Rik	0.059042325	7.668460344	0.095350326	0.757482432	0.97777587	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.24462947	7.023006695	2.791590606	0.094760126	0.418472547	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.017464492	0.177575	low	0.493846722
2210016L21Rik	-0.25538504	5.924363314	0.605953189	0.436315587	0.951568244	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.079667787	4.726018653	0.251181844	0.616244131	0.850096385	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.002282223	0.338925	low	0.493846722
2210408I21Rik	-0.347272929	8.452329741	3.918424144	0.047759629	0.728054712	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.087802391	8.424990564	0.60650037	0.436108533	0.743613751	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.012538445	0.20925	high	0.493846722
2610008E11Rik	0.157551819	6.091346916	0.309689974	0.577870492	0.96723634	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.102109899	5.45847453	0.878862993	0.348513286	0.693739775	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.002122025	0.352	high	0.493846722
2610035D17Rik	-0.18076693	7.180487884	0.683591361	0.408352788	0.951568244	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.31098121	6.787215771	6.296030115	0.012100867	0.138330177	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.057325142	0.083175	high	0.493846722
2610037D02Rik	0.305585585	6.376121817	1.239087181	0.265647049	0.928784467	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.027695875	5.915953045	0.044100534	0.833666682	0.944049484	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.001929428	0.354575	high	0.493846722
2610044O15Rik8	-0.038277449	6.052823158	0.014142357	0.905337435	0.987830461	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.447413106	4.473929265	1.865163029	0.172030093	0.529234687	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.031942216	0.125975	low	0.493846722
2610507B11Rik	-0.055077394	6.093782135	0.029809033	0.862924246	0.987105604	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.115691934	5.410796126	0.846751132	0.357473054	0.693739775	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.001566383	0.3717	high	0.493959375
2900026A02Rik	0.227422117	6.202836061	0.65232485	0.419282709	0.951568244	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.163539549	6.523958186	1.198420837	0.273637531	0.627887199	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.009292904	0.235125	low	0.493846722
2900097C17Rik	0.153664524	5.822967541	0.232654357	0.629562609	0.96723634	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.180269808	4.994907906	0.864935022	0.352361336	0.693739775	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.00670897	0.261525	low	0.493846722
3110082I17Rik	0.001452722	5.907219086	1.74156E-05	0.996670282	0.999019501	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.329431618	5.38898674	6.482462307	0.010894396	0.132403673	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.055339225	0.0846	low	0.493846722
4732471J01Rik	0.321357382	7.849197488	3.94635436	0.046973028	0.726790597	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.124458436	7.464281233	1.065277551	0.302014577	0.656981197	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.017438247	0.179	low	0.493846722
4833420G17Rik	0.233824237	6.591563201	0.94503244	0.330986978	0.941981374	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.17073947	5.94400098	1.322920824	0.250068526	0.60914179	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.007240156	0.252325	high	0.493846722
4930402H24Rik	0.093314403	8.882756285	0.459113633	0.49803851	0.957637191	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.106887523	8.250011375	0.741934121	0.389042014	0.709661353	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.001432662	0.379775	high	0.494395716
4930419G24Rik	-0.079104615	6.169519271	0.045863918	0.830423357	0.984072925	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.383842663	4.61802265	1.620031279	0.203087426	0.559712259	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.022000174	0.155675	high	0.493846722
4930447C04Rik	-0.169610457	7.423077591	0.589071385	0.442778433	0.951689519	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.438489188	6.664550598	6.890568237	0.008665172	0.113680169	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.135726783	0.0452	low	0.493846722
4930578G10Rik	0.248216498	9.155717973	2.717220789	0.099270726	0.80056802	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.596326919	8.026025206	0.704574909	0.401250715	0.719671948	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.044394246	0.102275	low	0.493846722
4931406P16Rik	-0.118574228	6.531570999	0.192698554	0.660680061	0.967412238	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.078247404	6.253188096	0.155271985	0.693547326	0.883784885	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.000517255	0.4387	high	0.497826903
4932438A13Rik	-0.157613376	8.39490473	1.236321423	0.266181185	0.928784467	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.149826242	7.879311597	1.743033993	0.186754859	0.550196616	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.005281293	0.283525	high	0.493846722
4933406I18Rik	-0.013834506	7.430337981	0.005118934	0.942962635	0.991280353	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.237391906	6.910557511	4.971538943	0.025767711	0.21868976	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.023378829	0.149975	high	0.493846722
5031425E22Rik	-0.161582221	7.411071658	0.652756253	0.419128968	0.951568244	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.072132761	6.801297499	0.363280768	0.546689803	0.807701056	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.001573405	0.3635	low	0.493846722
5031439G07Rik	-0.09133107	6.582007793	0.137708374	0.710569911	0.971868829	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.061264408	5.875613834	0.075419227	0.783603887	0.923160137	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.000222107	0.4692	high	0.4982818
5330417C22Rik	0.345303969	7.246517418	2.866704887	0.090429843	0.787903585	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.057891515	7.050724936	0.222569522	0.637089008	0.856065138	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.009135068	0.234075	low	0.493846722
5730522E02Rik	0.027498779	8.797316018	0.020063978	0.887358548	0.987105604	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.247409429	9.117573355	4.476518922	0.034363645	0.256915266	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.022786862	0.155225	high	0.493846722
6030443J06Rik	0.290875485	6.580665973	1.039361317	0.307970059	0.936642512	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.05699251	5.506572092	0.194943309	0.6588338	0.866489466	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.002140906	0.3513	high	0.493846722
6330403K07Rik	-0.297645181	5.839930522	0.61131603	0.434292732	0.951568244	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.059971232	4.688400681	0.171736669	0.678572965	0.875457253	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.002093132	0.345575	low	0.493846722
6530403H02Rik	0.703075242	6.502251205	1.482365989	0.223404708	0.910453395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.507622831	6.008358004	6.985018515	0.00821948	0.110329467	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.281178144	0.0182	low	0.49100405
8030462N17Rik	-0.047554443	6.360753468	0.0256349	0.87279519	0.987105604	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.120069276	6.462846427	0.679024529	0.409922827	0.725861112	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.001460688	0.37605	high	0.493959375
9330159F19Rik	-0.207116311	6.097188836	0.443852641	0.505268787	0.957894966	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.180033157	5.047558031	2.022046709	0.155030057	0.502509158	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.008939159	0.238425	high	0.493846722
9330182L06Rik	-0.490951663	6.381720635	2.802089662	0.094141538	0.796578447	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.211750454	6.833065866	2.529176834	0.111758504	0.451593263	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.03587104	0.1138	high	0.493846722
9530059O14Rik	0.493586131	8.909165042	8.900130774	0.002851502	0.370526505	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.671011179	8.060480792	32.83246708	1.00453E-08	1.70569E-06	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.581662616	0.004525	low	0.4132975
9930021J03Rik	-0.587402668	7.072138802	6.297759157	0.01208907	0.630133168	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.002973152	6.68254028	0.00074554	0.978216805	0.999769217	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.033571721	0.1238	high	0.493846722
A230006K03Rik	-0.054303973	9.109997939	0.166359303	0.683367889	0.971589278	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.020279886	8.760791252	0.027795961	0.867589418	0.957845794	pseudobulk	edgeR	LRT	Deep_layer_neurons	4.27499E-05	0.497025	high	0.499638839
A230057D06Rik	0.01438726	9.093033064	0.008182901	0.927922167	0.990115581	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.338441338	9.218851832	8.622014037	0.003321244	0.060877378	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.083367496	0.06355	low	0.493846722
A330008L17Rik	-0.097794023	8.422446121	0.095896636	0.756810535	0.97777587	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	1.062292582	5.74450463	31.74291227	1.7599E-08	2.64812E-06	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.597976512	0.003075	low	0.409855147
A330102I10Rik	0.022360587	7.229814626	0.009187534	0.923638415	0.990115581	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.432620644	6.981018688	9.480397559	0.00207679	0.04334455	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.132736298	0.042125	high	0.493846722
A630089N07Rik	-0.438359055	6.256373948	1.743825018	0.186654901	0.885956378	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.215993047	5.727061994	2.990651158	0.083746487	0.391981599	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.03877969	0.1135	low	0.493846722
A830018L16Rik	0.191765225	9.396170585	0.725493557	0.394347814	0.951568244	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.125650371	9.62593992	0.933790573	0.33387988	0.688573996	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.003386681	0.31745	high	0.493846722
A830036E02Rik	0.404679754	6.416805118	1.365315722	0.242618341	0.928426492	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	1.076448314	3.741152574	9.693365048	0.001849346	0.039863465	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.699582419	0.00185	high	0.3740625
A830082K12Rik	0.079322479	6.239362977	0.066399638	0.796652901	0.982987075	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.168800334	6.182463883	1.840180702	0.174929769	0.533679476	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.005552624	0.277875	high	0.493846722
A930015D03Rik	-0.041835431	7.204778354	0.047958331	0.826654794	0.983617758	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.064970372	7.032428984	0.173768395	0.676784204	0.874613432	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.000199155	0.473375	high	0.4982818
AC149090.1	-0.049441321	9.350236749	0.121570018	0.727337878	0.9773082	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.002592802	8.518975633	0.000364296	0.98477207	0.999769217	pseudobulk	edgeR	LRT	Deep_layer_neurons	-1.87927E-05	0.484	low	0.498368686
AI480526	-0.129582099	6.086021439	0.156644415	0.692264903	0.971589278	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.335089056	5.863652982	6.438687506	0.011166112	0.13379073	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.078742269	0.06645	low	0.493846722
AU040320	-0.776750514	5.970013145	5.101176738	0.023909618	0.662740697	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.08788276	5.3158242	0.584507594	0.444550892	0.749375156	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.052949477	0.088725	high	0.493846722
AW554918	0.209906196	7.143403276	0.859133352	0.353981331	0.94958605	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.000600301	6.834921483	2.82606E-05	0.995758406	0.999769217	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.000629147	0.431	high	0.497826903
Aagab	0.301666881	6.853886822	1.873608433	0.171062373	0.872685966	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.025445042	6.051887809	0.053169867	0.817636506	0.938144033	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.003582432	0.3104	low	0.493846722
Aak1	0.108018569	8.912508568	0.666812389	0.414165165	0.951568244	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.13667567	8.818340599	1.819359324	0.177389557	0.53718679	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.006488482	0.261875	low	0.493846722
Aatf	-0.020782212	6.298908444	0.005649015	0.940087465	0.991280353	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.067456753	5.595266128	0.355936392	0.550771767	0.810457842	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.0003962	0.432	low	0.497826903
Aatk	0.085405281	6.021733707	0.084357159	0.771477321	0.978902987	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.350562106	5.587870214	2.179516375	0.139858404	0.47967073	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.027947641	0.136025	low	0.493846722
Abat	0.00278551	6.018193364	8.32189E-05	0.992721446	0.999019501	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.042499325	4.722424802	0.125377682	0.723273601	0.897449792	pseudobulk	edgeR	LRT	Deep_layer_neurons	-6.67166E-05	0.472025	low	0.4982818
Abca3	-0.158032084	6.729027686	0.444817052	0.504806586	0.957894966	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.107271548	6.006861416	0.953191083	0.328908363	0.684180049	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.002385259	0.341925	high	0.493846722
Abca5	-0.090215198	7.140979282	0.199046959	0.655491216	0.96723634	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.210867737	6.351565928	3.981967449	0.045989816	0.28955831	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.021941842	0.15435	low	0.493846722
Abcb7	0.195315595	6.261471033	0.373045284	0.541348989	0.964038996	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.021691247	6.187757853	0.033449159	0.854883458	0.952732744	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.000497147	0.426875	low	0.497826903
Abcb9	0.191369097	6.036120704	0.439203322	0.507507229	0.957894966	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.162647041	5.435216513	2.058189854	0.151389916	0.49721485	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.007568324	0.251225	high	0.493846722
Abcc5	-0.010047819	8.303566071	0.005129926	0.942901536	0.991280353	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.033281417	7.907413783	0.087832862	0.766950515	0.916592813	pseudobulk	edgeR	LRT	Deep_layer_neurons	3.24259E-05	0.49885	low	0.499638839
Abce1	0.13571176	6.065597161	0.220236739	0.638859594	0.96723634	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.075229818	5.383209605	0.418243566	0.517814774	0.792599475	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.0009401	0.40245	high	0.497826903
Abcf1	0.099342898	6.052911702	0.117489863	0.731773044	0.977467935	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.007336574	4.833832955	0.00298055	0.956461593	0.99453263	pseudobulk	edgeR	LRT	Deep_layer_neurons	6.99735E-05	0.49695	high	0.499638839
Abcg1	-0.601606895	5.982289981	3.300857147	0.069243742	0.755057825	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.295964855	5.33380473	7.017201161	0.008073032	0.109102972	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.154283898	0.038125	low	0.493846722
Abhd12	-0.057484837	7.681133569	0.109513676	0.740698489	0.977734652	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.027011348	6.916047198	0.070860431	0.790088089	0.925607378	pseudobulk	edgeR	LRT	Deep_layer_neurons	6.2987E-05	0.4903	high	0.499006243
Abhd16a	-0.266709112	5.938111828	0.595164836	0.44042883	0.951689519	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.007554838	4.718635533	0.002631645	0.959086817	0.995650981	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.000936105	0.4052	high	0.497826903
Abhd18	-0.296675103	7.288921205	1.971016715	0.160339985	0.855248829	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.076022817	7.029061774	0.529482345	0.466824574	0.766271602	pseudobulk	edgeR	LRT	Deep_layer_neurons	-0.006392596	0.26545	low	0.493846722
